,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
168,1974/08,EXPLOSION,3,0,3,0,0,1,0,0,0,0,0,200000,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
169,1974/08,FIRE,1,0,0,0,0,0,0,0,0,0,0,50000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
171,1974/09,FIRE,1,1,0,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
173,1974/09,RAIN,1,1,0,0,0,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,RAIN,HYDROLOGICAL
174,1974/10,FIRE,1,0,0,0,0,0,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
175,1974/10,FLOOD,1,0,0,0,0,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,1,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
176,1975/01,FIRE,1,0,0,0,3,3,0,0,0,0,0,30000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
177,1975/02,FIRE,1,0,0,0,0,0,0,0,0,0,0,50000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
178,1975/03,FIRE,1,0,0,0,0,0,0,0,0,0,0,1000000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
179,1975/04,EPIDEMIC,4,0,39,0,0,0,0,0,0,0,0,200000,0,4,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
180,1975/04,EXPLOSION,1,1,3,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
181,1975/04,FIRE,6,0,2,0,5,0,0,0,0,0,0,932000,0,6,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
183,1975/05,FIRE,2,0,1,0,1,0,0,0,0,0,0,4500,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
184,1975/06,DROUGHT,11,0,0,0,0,0,0,0,0,0,0,72000000,7750,997,0,11,0,0,0,0,1,0,Dominican Republic,0,0,DROUGHT,NATURAL DISASTERS
185,1975/06,EPIDEMIC,3,20,121,0,0,0,0,0,0,0,0,200000,0,3,0,1,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
186,1975/06,FIRE,2,0,1,0,0,0,0,0,0,0,0,1050000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
189,1975/06,STORM,1,1,0,0,1,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
192,1975/07,FIRE,3,1,0,0,4,6,0,0,0,0,0,260000,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
193,1975/07,INTOXICACIÓN,2,2,0,0,0,0,0,0,0,0,0,200000,0,2,0,1,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
195,1975/08,FIRE,5,0,10,0,31,1,0,0,0,0,0,86000,0,5,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
196,1975/08,FLOOD,1,0,0,0,250,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
199,1975/09,EPIDEMIC,2,2,113,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
200,1975/09,FIRE,1,0,0,0,0,0,0,0,0,0,0,80000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
